dept        avggpa          
----------  ----------------
CHEM W      1.99336734693878
POL SW      2.58504398826979
EEMB W      2.66727969348659
DANCEW      2.76137724550898
MCDB W      2.7965034965035 
CHEM        2.81564975141434
ASTRO       2.8405527638191 
EARTHW      2.84594594594595
MCDB        2.91460897406785
ECON        2.91934663561402
